ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,hour,month,day_name,year,Crime_Severity_Score,Crime_Type_Code,KMeans_Cluster,DBSCAN_Cluster,HC_Cluster,Temporal_cluster,TSNE_1,TSNE_2
14018813,JJ477085,2025-11-03 23:00:00,024XX W ALBION AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,2412,24,50,2,07,1159036.0,1943743.0,2025,11/11/2025 03:41:33 PM,42.001362992,-87.690282768,"(42.001362992, -87.690282768)",23,11,0,2025,2,15,2,-1,0,3,68.10126,-31.171043
14018827,JJ476823,2025-11-03 23:00:00,075XX S HONORE ST,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,0,0,611,6,17,71,06,1165326.0,1854715.0,2025,11/11/2025 03:41:33 PM,41.756930974,-87.669675486,"(41.756930974, -87.669675486)",23,11,0,2025,2,26,2,-1,0,3,70.46321,-36.000526
14018558,JJ476681,2025-11-03 23:00:00,027XX W 60TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,825,8,16,66,07,1159180.0,1864755.0,2025,11/11/2025 03:41:33 PM,41.784610098,-87.691925272,"(41.784610098, -87.691925272)",23,11,0,2025,2,15,2,-1,0,3,70.44102,-34.23366
14018414,JJ476520,2025-11-03 23:00:00,060XX S MC VICKER AVE,0810,THEFT,OVER $500,STREET,0,1,812,8,13,64,06,1137099.0,1863952.0,2025,11/11/2025 03:41:33 PM,41.782830005,-87.772903879,"(41.782830005, -87.772903879)",23,11,0,2025,2,26,0,-1,1,3,69.524666,-35.104794
14023231,JJ482029,2025-11-03 23:00:00,076XX S SAGINAW AVE,0820,THEFT,$500 AND UNDER,APARTMENT,0,0,421,4,7,43,06,1195249.0,1854877.0,2025,11/11/2025 03:41:33 PM,41.756689743,-87.560008935,"(41.756689743, -87.560008935)",23,11,0,2025,2,26,2,-1,0,3,73.61237,-39.9032
14019453,JJ477787,2025-11-03 22:55:00,030XX W 59TH ST,0810,THEFT,OVER $500,SCHOOL - PRIVATE GROUNDS,0,0,824,8,15,66,06,1157307.0,1865365.0,2025,11/11/2025 03:41:33 PM,41.786322161,-87.698776003,"(41.786322161, -87.698776003)",22,11,0,2025,2,26,2,-1,0,3,69.91228,-35.67416
14018497,JJ476531,2025-11-03 22:48:00,066XX S RHODES AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,0,1,321,3,20,42,14,1181040.0,1861207.0,2025,11/11/2025 03:41:33 PM,41.774398607,-87.611887103,"(41.774398607, -87.611887103)",22,11,0,2025,3,5,0,-1,1,3,54.017025,-71.36129
14018485,JJ476503,2025-11-03 22:45:00,024XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,132,1,4,33,08B,1179172.0,1888293.0,2025,11/11/2025 03:41:33 PM,41.848767679,-87.617908206,"(41.848767679, -87.617908206)",22,11,0,2025,3,2,0,-1,1,3,59.97227,-64.02563
14018630,JJ476689,2025-11-03 22:44:00,066XX S RHODES AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - PORCH / HALLWAY,0,0,321,3,20,42,14,1181040.0,1861207.0,2025,11/11/2025 03:41:33 PM,41.774398607,-87.611887103,"(41.774398607, -87.611887103)",22,11,0,2025,3,5,2,-1,0,3,54.017017,-71.3613
14018453,JJ476495,2025-11-03 22:36:00,011XX S CENTRAL PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,1133,11,24,29,08B,1152544.0,1894960.0,2025,11/11/2025 03:41:33 PM,41.867629871,-87.715459353,"(41.867629871, -87.715459353)",22,11,0,2025,3,2,0,-1,1,3,64.896736,-62.8734
